Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
68,19,Maxim Harteloh,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
69,25,Ernst Fidom,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
70,26,Daan Hogenelst,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
71,51,Maurits Oskam,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
72,30,Pieter Bekker,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
73,31,Alwin Niewold,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
74,33,Eibert van 't Hof,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
75,34,Timo de Waard,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
76,35,Ralph van der Meer,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
77,38,Bart Vonk,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
78,39,Roderick Loykens,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
79,83,Rodolfo Giovanni Niels Gervasio,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
80,41,Bob van den Berg,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
81,46,Hugo Esteban Escudero,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
82,42,Sam Lagerwij,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
83,44,Don de Leeuw,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
84,47,Arjen Koene,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
85,48,Linus Kloepfer,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
86,49,Max Etalle,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
87,53,Melvin Straathof,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
88,54,Teunis de Beer,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
89,55,Jelmer Kraaijeveld,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
90,56,Tom de Vreede,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
91,1,Luuk Nijhoff,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
92,3,Rombout Loman,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
93,5,Albert Berkhout,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
94,9,Milou van de Beek,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
95,10,Sofie Freeke,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
96,11,Thomas Vobl,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
97,12,Constantijn Dekker,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
98,13,Jeroen Wieringa,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
99,14,Jurn Bezemer,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
100,15,Jeroen de Keijzer,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
101,16,Lucas Geerlings,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
102,21,Arco Flikweert,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
103,22,Jesse Flikweert,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
104,27,Mark Veenstra,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
105,28,Bas Neuteboom,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
106,29,Sanne Kerklaan,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
107,30,Niels Levelt,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
108,31,Dorien van Iwaarden,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
109,32,Björn Christian Benschop,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
110,33,Johan Bakker,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
111,34,Bram Veenhof,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
112,35,Anton Koopman,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
113,36,Paul van Sighem,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
114,37,Rob van der Liende,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
115,38,Femke van Welie,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
116,40,Bart van Leeuwen,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
117,41,Mark van der Weide,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
118,42,Leo Perera,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
119,43,André Mook,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
120,44,Ard Koeleman,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
121,47,Faniel Haile,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
122,48,Nanky Fernandez Bonilla,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
123,50,Niek Adema,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
124,54,Maurits van der Heijde,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
125,55,Mette Stoel,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
126,56,Raymond Olsthoorn,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
127,58,Bart Vons,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
128,59,Qiyan Wang,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
129,60,Ricardo Jansen,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
130,61,Rémy van Es,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
131,64,Daniel El Helou,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
132,65,Louis Oudshoorn,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
133,92,Esrom Netserab,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
134,104,Edwin de Haas,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
135,105,Marco van Koppen,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
136,118,Jeroen Neve,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
137,140,Constant Druon,110579 | ZAC B (30/06) - 19:31:00,0.000,0.000,-,0.000,-,-
