Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
98,12,Constantijn Dekker,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
99,13,Jeroen Wieringa,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
100,14,Jurn Bezemer,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
101,15,Jeroen de Keijzer,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
102,18,Ot Kuiper,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
103,22,Jesse Flikweert,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
104,24,Ole Olsthoorn,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
105,28,Bas Neuteboom,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
106,29,Sanne Kerklaan,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
107,30,Niels Levelt,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
108,31,Dorien van Iwaarden,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
109,32,Björn Christian Benschop,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
110,33,Johan Bakker,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
111,34,Bram Veenhof,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
112,35,Anton Koopman,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
113,36,Paul van Sighem,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
114,37,Rob van der Liende,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
115,38,Femke van Welie,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
116,41,Mark van der Weide,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
117,42,Leo Perera,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
118,43,André Mook,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
119,44,Ard Koeleman,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
120,46,Saar Mooij,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
121,48,Nanky Fernandez Bonilla,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
122,50,Niek Adema,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
123,51,Eric Weber,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
124,52,Nienke Bennis,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
125,53,Floor Sigmond,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
126,54,Maurits van der Heijde,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
127,55,Mette Stoel,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
128,56,Raymond Olsthoorn,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
129,59,Qiyan Wang,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
130,62,Harmen Land,110583 | ZAC B (28/07) - 19:31:00,0.000,0.000,-,0.000,-,-
